iter	Passed	Remaining
0	60	60748
1	61	30507
2	61	20432
3	61	15389
4	62	12370
5	62	10349
6	62	8900
7	63	7813
8	63	6968
9	63	6293
10	63	5742
11	64	5283
12	64	4894
13	64	4559
14	65	4271
15	65	4023
16	65	3801
17	66	3603
18	66	3425
19	66	3269
20	67	3129
21	67	2995
22	67	2876
23	67	2764
24	68	2661
25	68	2567
26	68	2479
27	69	2400
28	69	2325
29	70	2280
30	70	2214
31	71	2151
32	71	2092
33	71	2037
34	72	1985
35	72	1936
36	72	1889
37	72	1846
38	73	1804
39	73	1764
40	73	1729
41	74	1692
42	74	1658
43	74	1625
44	75	1594
45	75	1564
46	75	1536
47	76	1509
48	76	1484
49	76	1462
50	77	1437
51	77	1414
52	77	1391
53	78	1369
54	78	1348
55	78	1327
56	79	1308
57	79	1289
58	79	1271
59	79	1253
60	80	1235
61	80	1218
62	80	1201
63	81	1186
64	81	1171
65	81	1156
66	82	1142
67	82	1128
68	82	1116
69	83	1102
70	83	1092
71	83	1079
72	84	1067
73	84	1056
74	84	1044
75	84	1032
76	85	1021
77	85	1012
78	85	1001
79	86	990
80	86	980
81	86	970
82	86	959
83	87	949
84	87	940
85	87	932
86	88	923
87	88	914
88	88	906
89	88	899
90	89	891
91	89	883
92	89	875
93	90	868
94	90	861
95	90	853
96	90	847
97	91	839
98	91	833
99	91	826
100	92	820
101	92	814
102	92	808
103	93	802
104	93	796
105	93	791
106	94	785
107	94	779
108	94	773
109	94	768
110	95	762
111	95	757
112	95	752
113	96	747
114	96	742
115	96	737
116	96	731
117	97	727
118	97	722
119	97	717
120	98	713
121	98	708
122	98	704
123	99	700
124	99	696
125	99	692
126	100	687
127	100	683
128	100	679
129	101	676
130	101	672
131	101	668
132	101	664
133	102	660
134	102	656
135	102	652
136	103	649
137	103	645
138	103	641
139	103	637
140	104	634
141	104	629
142	104	626
143	104	622
144	105	619
145	105	615
146	105	612
147	105	609
148	106	606
149	106	603
150	106	600
151	107	597
152	107	594
153	107	591
154	107	588
155	108	585
156	108	582
157	108	580
158	109	577
159	109	574
160	109	571
161	109	568
162	110	565
163	110	562
164	110	560
165	111	557
166	111	554
167	111	552
168	111	550
169	112	547
170	112	545
171	112	542
172	113	540
173	113	537
174	114	537
175	114	535
176	114	533
177	115	531
178	115	529
179	115	526
180	115	524
181	116	522
182	116	520
183	116	517
184	117	515
185	117	513
186	117	511
187	117	509
188	118	507
189	118	505
190	118	503
191	119	501
192	119	499
193	119	497
194	120	495
195	120	493
196	120	492
197	121	490
198	121	488
199	121	486
200	121	484
201	122	482
202	122	481
203	122	479
204	123	477
205	123	475
206	123	473
207	124	472
208	124	470
209	124	468
210	124	466
211	125	465
212	125	463
213	125	462
214	126	460
215	126	458
216	126	456
217	126	455
218	127	453
219	127	452
220	127	450
221	128	449
222	128	447
223	128	446
224	129	445
225	129	443
226	129	442
227	130	440
228	130	439
229	130	437
230	130	436
231	131	434
232	131	433
233	131	431
234	132	430
235	132	429
236	132	427
237	133	426
238	133	425
239	133	423
240	134	422
241	134	420
242	134	419
243	134	418
244	135	416
245	135	415
246	135	413
247	136	412
248	136	411
249	136	409
250	136	408
251	137	407
252	137	405
253	137	404
254	137	403
255	138	402
256	138	400
257	138	399
258	139	398
259	139	397
260	139	396
261	140	394
262	140	393
263	140	392
264	140	390
265	141	389
266	141	388
267	141	387
268	142	386
269	142	384
270	142	383
271	142	382
272	143	381
273	143	380
274	144	379
275	144	378
276	144	377
277	145	376
278	145	375
279	145	374
280	145	373
281	146	372
282	146	371
283	146	369
284	147	368
285	147	367
286	147	366
287	148	365
288	148	364
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	150	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	354
300	152	353
301	152	352
302	152	351
303	152	350
304	153	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	155	341
312	155	341
313	155	340
314	155	339
315	156	338
316	156	337
317	156	336
318	157	336
319	158	335
320	158	334
321	158	333
322	158	332
323	159	332
324	159	331
325	159	330
326	160	329
327	160	328
328	160	327
329	160	326
330	161	325
331	161	325
332	161	324
333	162	323
334	162	322
335	162	321
336	162	320
337	163	319
338	163	319
339	163	318
340	164	317
341	164	316
342	164	315
343	165	314
344	165	314
345	165	313
346	166	312
347	166	311
348	166	310
349	166	310
350	167	309
351	167	308
352	167	307
353	168	306
354	168	305
355	168	305
356	169	304
357	169	303
358	169	302
359	169	302
360	170	301
361	170	300
362	170	299
363	170	298
364	171	297
365	171	297
366	171	296
367	172	295
368	172	294
369	172	293
370	172	293
371	173	292
372	173	291
373	173	291
374	174	290
375	174	289
376	174	288
377	175	288
378	175	287
379	175	286
380	176	286
381	176	285
382	176	284
383	177	283
384	177	283
385	177	282
386	177	281
387	178	280
388	178	280
389	178	279
390	178	278
391	179	278
392	179	277
393	179	276
394	180	275
395	180	275
396	180	274
397	180	273
398	181	272
399	181	272
400	181	271
401	182	270
402	182	270
403	182	269
404	182	268
405	183	267
406	183	267
407	183	266
408	184	265
409	184	265
410	184	264
411	184	263
412	185	263
413	185	262
414	185	262
415	186	261
416	186	260
417	186	259
418	186	259
419	187	258
420	187	257
421	187	257
422	188	256
423	188	255
424	188	255
425	188	254
426	189	254
427	189	253
428	189	252
429	190	252
430	190	251
431	190	250
432	191	250
433	191	249
434	191	249
435	191	248
436	192	247
437	192	247
438	192	246
439	193	245
440	193	245
441	193	244
442	194	244
443	194	243
444	194	242
445	194	242
446	195	241
447	195	240
448	195	240
449	196	239
450	196	239
451	196	238
452	197	237
453	197	237
454	197	236
455	197	236
456	198	235
457	198	235
458	198	234
459	199	233
460	199	233
461	199	232
462	200	232
463	200	231
464	200	231
465	201	230
466	201	229
467	201	229
468	202	228
469	202	228
470	202	227
471	202	227
472	203	226
473	203	225
474	203	225
475	204	224
476	204	224
477	204	223
478	204	222
479	205	222
480	205	221
481	206	221
482	206	220
483	206	220
484	207	219
485	207	219
486	207	218
487	208	218
488	208	217
489	208	217
490	209	216
491	209	216
492	209	215
493	209	215
494	210	214
495	210	213
496	210	213
497	211	212
498	211	212
499	211	211
500	212	211
501	212	210
502	212	210
503	213	209
504	213	209
505	213	208
506	214	208
507	214	207
508	214	207
509	215	206
510	215	206
511	215	205
512	216	205
513	216	204
514	216	203
515	216	203
516	217	202
517	217	202
518	217	201
519	218	201
520	218	200
521	218	200
522	218	199
523	219	199
524	219	198
525	219	198
526	220	197
527	220	197
528	220	196
529	221	196
530	221	196
531	222	195
532	223	195
533	223	195
534	224	194
535	224	194
536	224	193
537	225	193
538	225	192
539	225	192
540	226	192
541	226	191
542	227	191
543	227	190
544	228	190
545	228	189
546	228	189
547	229	188
548	229	188
549	229	188
550	230	187
551	230	187
552	230	186
553	231	186
554	231	185
555	231	185
556	232	184
557	232	184
558	232	183
559	233	183
560	233	182
561	233	182
562	233	181
563	234	180
564	235	180
565	235	180
566	235	180
567	236	179
568	236	179
569	236	178
570	237	178
571	237	177
572	237	177
573	238	176
574	238	176
575	239	176
576	239	175
577	239	175
578	240	174
579	240	174
580	240	173
581	240	173
582	241	172
583	241	172
584	241	171
585	242	171
586	242	170
587	242	170
588	243	169
589	243	169
590	243	168
591	244	168
592	244	167
593	245	167
594	245	167
595	245	166
596	246	166
597	246	165
598	246	165
599	246	164
600	247	164
601	247	163
602	247	163
603	248	162
604	248	162
605	248	161
606	248	161
607	249	160
608	249	160
609	249	159
610	250	159
611	250	158
612	250	158
613	250	157
614	251	157
615	251	156
616	252	156
617	252	156
618	253	155
619	253	155
620	253	154
621	254	154
622	254	154
623	254	153
624	255	153
625	255	152
626	256	152
627	256	151
628	256	151
629	257	151
630	257	150
631	257	150
632	258	149
633	258	149
634	259	149
635	260	148
636	260	148
637	260	147
638	261	147
639	261	147
640	262	146
641	262	146
642	262	145
643	263	145
644	263	145
645	263	144
646	264	144
647	264	143
648	264	143
649	264	142
650	265	142
651	265	141
652	265	141
653	266	140
654	266	140
655	266	139
656	267	139
657	267	139
658	267	138
659	268	138
660	268	137
661	268	137
662	269	136
663	269	136
664	270	136
665	270	135
666	270	135
667	271	134
668	271	134
669	271	133
670	272	133
671	272	133
672	272	132
673	273	132
674	273	131
675	273	131
676	273	130
677	274	130
678	274	129
679	274	129
680	274	128
681	275	128
682	275	127
683	275	127
684	276	126
685	276	126
686	276	126
687	277	125
688	277	125
689	277	124
690	277	124
691	278	123
692	278	123
693	278	122
694	279	122
695	279	122
696	279	121
697	280	121
698	280	120
699	280	120
700	280	119
701	281	119
702	281	118
703	282	118
704	282	118
705	282	117
706	283	117
707	283	116
708	284	116
709	284	116
710	284	115
711	285	115
712	285	114
713	285	114
714	286	114
715	286	113
716	286	113
717	286	112
718	287	112
719	287	111
720	287	111
721	288	110
722	288	110
723	288	110
724	289	109
725	289	109
726	289	108
727	290	108
728	290	107
729	290	107
730	291	107
731	291	106
732	291	106
733	292	105
734	292	105
735	292	105
736	293	104
737	293	104
738	294	103
739	294	103
740	294	103
741	295	102
742	295	102
743	295	101
744	296	101
745	296	100
746	296	100
747	296	100
748	297	99
749	297	99
750	298	98
751	298	98
752	298	98
753	299	97
754	299	97
755	299	96
756	300	96
757	300	95
758	300	95
759	301	95
760	301	94
761	301	94
762	302	93
763	303	93
764	303	93
765	303	92
766	304	92
767	304	91
768	304	91
769	305	91
770	305	90
771	305	90
772	306	89
773	306	89
774	306	89
775	307	88
776	307	88
777	307	87
778	308	87
779	308	86
780	308	86
781	308	86
782	309	85
783	309	85
784	309	84
785	310	84
786	310	84
787	310	83
788	311	83
789	311	82
790	311	82
791	311	81
792	312	81
793	312	81
794	313	80
795	313	80
796	313	79
797	314	79
798	314	79
799	314	78
800	315	78
801	315	77
802	315	77
803	316	77
804	316	76
805	316	76
806	317	75
807	317	75
808	317	75
809	318	74
810	318	74
811	318	73
812	318	73
813	319	72
814	319	72
815	319	72
816	319	71
817	320	71
818	320	70
819	320	70
820	321	69
821	321	69
822	321	69
823	321	68
824	322	68
825	322	67
826	322	67
827	322	67
828	323	66
829	323	66
830	323	65
831	324	65
832	324	65
833	325	64
834	325	64
835	326	64
836	327	63
837	327	63
838	328	62
839	328	62
840	329	62
841	329	61
842	330	61
843	330	61
844	330	60
845	331	60
846	331	59
847	331	59
848	332	59
849	332	58
850	333	58
851	333	57
852	334	57
853	334	57
854	335	56
855	335	56
856	336	56
857	336	55
858	337	55
859	337	54
860	338	54
861	338	54
862	339	53
863	339	53
864	340	53
865	340	52
866	341	52
867	341	51
868	341	51
869	342	51
870	342	50
871	342	50
872	343	49
873	343	49
874	344	49
875	344	48
876	345	48
877	345	48
878	346	47
879	346	47
880	347	46
881	347	46
882	349	46
883	349	45
884	350	45
885	350	45
886	351	44
887	351	44
888	351	43
889	352	43
890	352	43
891	353	42
892	353	42
893	354	41
894	354	41
895	354	41
896	355	40
897	355	40
898	356	40
899	356	39
900	357	39
901	358	38
902	358	38
903	358	38
904	359	37
905	360	37
906	360	37
907	361	36
908	361	36
909	362	35
910	363	35
911	364	35
912	364	34
913	365	34
914	365	33
915	366	33
916	366	33
917	368	32
918	369	32
919	369	32
920	369	31
921	370	31
922	370	30
923	371	30
924	371	30
925	372	29
926	372	29
927	373	28
928	374	28
929	375	28
930	375	27
931	376	27
932	376	27
933	377	26
934	377	26
935	378	25
936	378	25
937	379	25
938	379	24
939	379	24
940	380	23
941	380	23
942	381	23
943	381	22
944	382	22
945	382	21
946	382	21
947	383	21
948	383	20
949	383	20
950	384	19
951	384	19
952	385	18
953	385	18
954	385	18
955	386	17
956	386	17
957	386	16
958	387	16
959	387	16
960	388	15
961	388	15
962	388	14
963	389	14
964	389	14
965	389	13
966	390	13
967	390	12
968	390	12
969	391	12
970	391	11
971	391	11
972	392	10
973	392	10
974	392	10
975	393	9
976	393	9
977	394	8
978	394	8
979	395	8
980	395	7
981	396	7
982	397	6
983	397	6
984	398	6
985	398	5
986	399	5
987	399	4
988	399	4
989	399	4
990	400	3
991	400	3
992	400	2
993	401	2
994	401	2
995	401	1
996	402	1
997	402	0
998	402	0
999	403	0
